Source Name	Characteristics [Organism]	Characteristics [DiseaseState]	Characteristics [OrganismPart]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [DiseaseState]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [OrganismPart]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE464GSM31318	Rattus norvegicus	mild spinal cord injury	spinal cord (T10)	GSE464GSM31318 sample	GSE464GSM31318 extract	total_RNA	GSE464GSM31318 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SC_InjB24h-1A-s2	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	mild spinal cord injury	1	d	spinal cord (T10)	CNS-SC_InjB24h-1A-s2	GSM31318.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31492	Rattus norvegicus	severe spinal cord injury	spinal cord (T8)	GSE464GSM31492 sample	GSE464GSM31492 extract	total_RNA	GSE464GSM31492 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SCsev_InjA4h-2A-s2	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	severe spinal cord injury	4	h	spinal cord (T8)	CNS-SCsev_InjA4h-2A-s2	GSM31492.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM6641	Rattus norvegicus	mild spinal cord injury	spinal cord (T8)	GSE464GSM6641 sample	GSE464GSM6641 extract	total_RNA	GSE464GSM6641 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SC_InjA4h-2C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	mild spinal cord injury	4	h	spinal cord (T8)	CNS-SC_InjA4h-2C-s2	GSM6641.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31558	Rattus norvegicus	moderate spinal cord injury	spinal cord (T9)	GSE464GSM31558 sample	GSE464GSM31558 extract	total_RNA	GSE464GSM31558 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SpinalCmod-Adult-4h-2A-s2	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	moderate spinal cord injury	4	h	spinal cord (T9)	CNS-SpinalCmod-Adult-4h-2A-s2	GSM31558.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM4422	Rattus norvegicus	mild spinal cord injury	spinal cord (T9)	GSE464GSM4422 sample	GSE464GSM4422 extract	total_RNA	GSE464GSM4422 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SpinalC-4hAdult-4A-s2	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	mild spinal cord injury	4	h	spinal cord (T9)	CNS-SpinalC-4hAdult-4A-s2	GSM4422.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM6654	Rattus norvegicus	mild spinal cord injury	spinal cord (T10)	GSE464GSM6654 sample	GSE464GSM6654 extract	total_RNA	GSE464GSM6654 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SC_InjB4h-3C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	mild spinal cord injury	4	h	spinal cord (T10)	CNS-SC_InjB4h-3C-s2	GSM6654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM6652	Rattus norvegicus	mild spinal cord injury	spinal cord (T10)	GSE464GSM6652 sample	GSE464GSM6652 extract	total_RNA	GSE464GSM6652 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SC_InjB4h-1C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	mild spinal cord injury	4	h	spinal cord (T10)	CNS-SC_InjB4h-1C-s2	GSM6652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31548	Rattus norvegicus	moderate spinal cord injury	spinal cord (T9)	GSE464GSM31548 sample	GSE464GSM31548 extract	total_RNA	GSE464GSM31548 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SpinalCmod-Adult-48h-1C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	moderate spinal cord injury	2	d	spinal cord (T9)	CNS-SpinalCmod-Adult-48h-1C-s2	GSM31548.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31382	Rattus norvegicus	severe spinal cord injury	spinal cord (T10)	GSE464GSM31382 sample	GSE464GSM31382 extract	total_RNA	GSE464GSM31382 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SCsev_InjB4h-1C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	severe spinal cord injury	4	h	spinal cord (T10)	CNS-SCsev_InjB4h-1C-s2	GSM31382.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31595	Rattus norvegicus	moderate spinal cord injury	spinal cord (T9)	GSE464GSM31595 sample	GSE464GSM31595 extract	total_RNA	GSE464GSM31595 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SpinalCmod-Adult-7d-3A-s2	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	moderate spinal cord injury	7	d	spinal cord (T9)	CNS-SpinalCmod-Adult-7d-3A-s2	GSM31595.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE1928GSM1333	Rattus norvegicus	normal	spinal cord (T9)	GSE1928GSM1333 sample	GSE1928GSM1333 extract	total_RNA	GSE1928GSM1333 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SpinalC-conAdult-30m-2A-s2	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	normal	0.5	h	spinal cord (T9)	CNS-SpinalC-conAdult-30m-2A-s2	GSM1333.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31504	Rattus norvegicus	severe spinal cord injury	spinal cord (T8)	GSE464GSM31504 sample	GSE464GSM31504 extract	total_RNA	GSE464GSM31504 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SCsev_InjA4h-4C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	severe spinal cord injury	4	h	spinal cord (T8)	CNS-SCsev_InjA4h-4C-s2	GSM31504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31481	Rattus norvegicus	severe spinal cord injury	spinal cord (T8)	GSE464GSM31481 sample	GSE464GSM31481 extract	total_RNA	GSE464GSM31481 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SCsev_InjA24h-3C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	severe spinal cord injury	1	d	spinal cord (T8)	CNS-SCsev_InjA24h-3C-s2	GSM31481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM6629	Rattus norvegicus	normal	spinal cord (T8)	GSE464GSM6629 sample	GSE464GSM6629 extract	total_RNA	GSE464GSM6629 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SC_CtrA7d-2C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	normal	7	d	spinal cord (T8)	CNS-SC_CtrA7d-2C-s2	GSM6629.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31510	Rattus norvegicus	normal	spinal cord (T9)	GSE464GSM31510 sample	GSE464GSM31510 extract	total_RNA	GSE464GSM31510 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SpinalC-conAdult-72h-1C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	normal	3	d	spinal cord (T9)	CNS-SpinalC-conAdult-72h-1C-s2	GSM31510.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31502	Rattus norvegicus	severe spinal cord injury	spinal cord (T8)	GSE464GSM31502 sample	GSE464GSM31502 extract	total_RNA	GSE464GSM31502 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SCsev_InjA7d-4C-s2	A-AFFY-20	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-20	P-AFFY-6	severe spinal cord injury	7	d	spinal cord (T8)	CNS-SCsev_InjA7d-4C-s2	GSM31502.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619522.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31603	Rattus norvegicus	severe spinal cord injury	spinal cord (T9)	GSE464GSM31603 sample	GSE464GSM31603 extract	total_RNA	GSE464GSM31603 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SpinalCsev-Adult-28d-3A-s2	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	severe spinal cord injury	28	d	spinal cord (T9)	CNS-SpinalCsev-Adult-28d-3A-s2	GSM31603.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31311	Rattus norvegicus	mild spinal cord injury	spinal cord (T10)	GSE464GSM31311 sample	GSE464GSM31311 extract	total_RNA	GSE464GSM31311 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SC_InjB14d-2A-s2	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	mild spinal cord injury	14	d	spinal cord (T10)	CNS-SC_InjB14d-2A-s2	GSM31311.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31494	Rattus norvegicus	severe spinal cord injury	spinal cord (T8)	GSE464GSM31494 sample	GSE464GSM31494 extract	total_RNA	GSE464GSM31494 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SCsev_InjA7d-2B-s2	A-AFFY-19	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-19	P-AFFY-6	severe spinal cord injury	7	d	spinal cord (T8)	CNS-SCsev_InjA7d-2B-s2	GSM31494.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619434.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31468	Rattus norvegicus	severe spinal cord injury	spinal cord (T8)	GSE464GSM31468 sample	GSE464GSM31468 extract	total_RNA	GSE464GSM31468 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SCsev_InjA24h-1B-s2	A-AFFY-19	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-19	P-AFFY-6	severe spinal cord injury	1	d	spinal cord (T8)	CNS-SCsev_InjA24h-1B-s2	GSM31468.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619434.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31604	Rattus norvegicus	severe spinal cord injury	spinal cord (T9)	GSE464GSM31604 sample	GSE464GSM31604 extract	total_RNA	GSE464GSM31604 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SpinalCsev-Adult-28d-4A-s2	A-AFFY-18	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-18	P-AFFY-6	severe spinal cord injury	28	d	spinal cord (T9)	CNS-SpinalCsev-Adult-28d-4A-s2	GSM31604.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
GSE464GSM31370	Rattus norvegicus	severe spinal cord injury	spinal cord (T10)	GSE464GSM31370 sample	GSE464GSM31370 extract	total_RNA	GSE464GSM31370 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CNS-SCsev_InjB28d-4B-s2	A-AFFY-19	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-19	P-AFFY-6	severe spinal cord injury	28	d	spinal cord (T10)	CNS-SCsev_InjB28d-4B-s2	GSM31370.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.raw.1.zip	E-GEOD-464-processed-data-1482619434.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-464/E-GEOD-464.processed.1.zip
