filename	array	injury	time	level
GSM31587.CEL	A-AFFY-20	moderate	3d	T9
GSM31501.CEL	A-AFFY-19	severe	7d	T8
GSM31449.CEL	A-AFFY-18	mild	4h	T8
GSM6624.CEL	A-AFFY-20	normal	1d	T8
GSM31591.CEL	A-AFFY-19	moderate	7d	T9
GSM6659.CEL	A-AFFY-20	mild	7d	T10
GSM31447.CEL	A-AFFY-18	mild	4h	T8
GSM31254.CEL	A-AFFY-18	normal	1d	T9
GSM7579.CEL	A-AFFY-19	severe	4h	T9
GSM31522.CEL	A-AFFY-18	moderate	0.5d	T9
GSM31432.CEL	A-AFFY-18	mild	1d	T8
GSM31493.CEL	A-AFFY-18	severe	7d	T8
GSM31438.CEL	A-AFFY-19	mild	0.5h	T8
GSM31585.CEL	A-AFFY-20	moderate	7d	T9
GSM6625.CEL	A-AFFY-20	normal	1d	T8
GSM31592.CEL	A-AFFY-19	moderate	7d	T9
GSM31525.CEL	A-AFFY-18	moderate	21d	T9
GSM31572.CEL	A-AFFY-18	moderate	4h	T9
GSM31464.CEL	A-AFFY-18	moderate	4h	T8
GSM31387.CEL	A-AFFY-19	severe	7d	T10
GSM6644.CEL	A-AFFY-20	mild	7d	T8
GSM4474.CEL	A-AFFY-19	mild	4h	T9
GSM6672.CEL	A-AFFY-20	normal	1d	T9
GSM31570.CEL	A-AFFY-19	moderate	4h	T9
GSM4420.CEL	A-AFFY-18	mild	4h	T9
GSM31260.CEL	A-AFFY-20	normal	2d	T9
GSM6651.CEL	A-AFFY-20	mild	1d	T10
GSM31597.CEL	A-AFFY-18	moderate	7d	T9
GSM6676.CEL	A-AFFY-20	normal	7d	T9
GSM31388.CEL	A-AFFY-20	severe	7d	T10
GSM7585.CEL	A-AFFY-19	severe	4h	T9
GSM7574.CEL	A-AFFY-20	severe	1d	T9
GSM31418.CEL	A-AFFY-20	normal	0h	T8
GSM6666.CEL	A-AFFY-20	mild	4h	T9
GSM31539.CEL	A-AFFY-18	moderate	28d	T9
GSM1136.CEL	A-AFFY-18	mild	1d	T9
GSM31333.CEL	A-AFFY-18	mild	4h	T10
GSM31393.CEL	A-AFFY-19	severe	7d	T10
GSM4466.CEL	A-AFFY-19	mild	1d	T9
GSM31579.CEL	A-AFFY-19	moderate	3d	T9
GSM31342.CEL	A-AFFY-18	moderate	4h	T10
GSM4465.CEL	A-AFFY-19	mild	7d	T10
GSM31611.CEL	A-AFFY-18	severe	28d	T9
GSM31287.CEL	A-AFFY-18	normal	4h	T10
GSM31615.CEL	A-AFFY-19	severe	14d	T9
GSM31445.CEL	A-AFFY-20	mild	0.5h	T8
GSM4453.CEL	A-AFFY-19	mild	7d	T8
GSM6664.CEL	A-AFFY-20	mild	4h	T9
GSM31229.CEL	A-AFFY-18	mild	28d	T9
GSM31559.CEL	A-AFFY-20	moderate	4h	T9
GSM4439.CEL	A-AFFY-19	normal	7d	T10
GSM31446.CEL	A-AFFY-18	mild	0.5h	T8
GSM31358.CEL	A-AFFY-20	severe	1d	T10
GSM6643.CEL	A-AFFY-20	mild	4h	T8
GSM31324.CEL	A-AFFY-18	mild	0.5h	T10
GSM31457.CEL	A-AFFY-18	severe	14d	T8
GSM31610.CEL	A-AFFY-18	severe	28d	T9
GSM6633.CEL	A-AFFY-20	normal	4h	T10
GSM6640.CEL	A-AFFY-20	mild	4h	T8
GSM4418.CEL	A-AFFY-18	mild	0.5h	T9
GSM31517.CEL	A-AFFY-19	moderate	0.5d	T9
GSM31450.CEL	A-AFFY-18	mild	4h	T8
GSM6656.CEL	A-AFFY-20	mild	7d	T10
GSM6632.CEL	A-AFFY-20	normal	4h	T10
GSM31321.CEL	A-AFFY-18	mild	1d	T10
GSM31374.CEL	A-AFFY-19	severe	4h	T10
GSM31303.CEL	A-AFFY-18	mild	14d	T10
GSM31335.CEL	A-AFFY-18	mild	7d	T10
GSM31355.CEL	A-AFFY-19	severe	1d	T10
GSM31520.CEL	A-AFFY-20	moderate	0.5d	T9
GSM31380.CEL	A-AFFY-18	severe	4h	T10
GSM4448.CEL	A-AFFY-19	mild	4h	T8
GSM31357.CEL	A-AFFY-20	severe	1d	T10
GSM31193.CEL	A-AFFY-19	moderate	1d	T9
GSM31596.CEL	A-AFFY-19	severe	14d	T9
GSM6637.CEL	A-AFFY-20	mild	1d	T8
GSM31230.CEL	A-AFFY-18	mild	0.5h	T9
GSM31350.CEL	A-AFFY-18	severe	14d	T10
GSM31574.CEL	A-AFFY-18	moderate	3d	T9
GSM31365.CEL	A-AFFY-18	severe	28d	T10
GSM31226.CEL	A-AFFY-18	mild	28d	T9
GSM31376.CEL	A-AFFY-20	severe	4h	T10
GSM7567.CEL	A-AFFY-19	severe	1d	T9
GSM31349.CEL	A-AFFY-20	severe	14d	T10
GSM31498.CEL	A-AFFY-18	severe	7d	T8
GSM31536.CEL	A-AFFY-18	moderate	1d	T9
GSM31489.CEL	A-AFFY-20	severe	28d	T8
GSM6635.CEL	A-AFFY-20	normal	7d	T10
GSM4463.CEL	A-AFFY-19	mild	7d	T10
GSM6647.CEL	A-AFFY-20	mild	7d	T8
GSM6646.CEL	A-AFFY-20	mild	7d	T8
GSM31524.CEL	A-AFFY-18	moderate	21d	T9
GSM31612.CEL	A-AFFY-19	severe	14d	T9
GSM31431.CEL	A-AFFY-18	mild	1d	T8
GSM31584.CEL	A-AFFY-18	moderate	7d	T9
GSM1330.CEL	A-AFFY-18	normal	1d	T9
GSM31259.CEL	A-AFFY-19	normal	2d	T9
GSM31406.CEL	A-AFFY-18	normal	0.5h	T8
GSM31542.CEL	A-AFFY-18	moderate	28d	T9
GSM31344.CEL	A-AFFY-20	severe	14d	T10
GSM31424.CEL	A-AFFY-18	mild	14d	T8
GSM31280.CEL	A-AFFY-18	normal	0.5h	T10
GSM4430.CEL	A-AFFY-19	normal	7d	T8
GSM7593.CEL	A-AFFY-18	severe	7d	T9
GSM31269.CEL	A-AFFY-18	normal	28d	T9
GSM31530.CEL	A-AFFY-19	moderate	1d	T9
GSM31360.CEL	A-AFFY-18	severe	1d	T10
GSM31276.CEL	A-AFFY-20	normal	14d	T10
GSM31463.CEL	A-AFFY-19	severe	14d	T8
GSM31310.CEL	A-AFFY-18	mild	14d	T10
GSM31543.CEL	A-AFFY-19	moderate	28d	T9
GSM31550.CEL	A-AFFY-18	moderate	2d	T9
GSM31480.CEL	A-AFFY-20	severe	28d	T8
GSM31363.CEL	A-AFFY-20	severe	1d	T10
GSM31544.CEL	A-AFFY-19	moderate	28d	T9
GSM31275.CEL	A-AFFY-19	normal	14d	T10
GSM31496.CEL	A-AFFY-20	severe	7d	T8
GSM31301.CEL	A-AFFY-19	mild	14d	T10
GSM31408.CEL	A-AFFY-19	normal	0.5h	T8
GSM4479.CEL	A-AFFY-19	normal	1d	T9
GSM31566.CEL	A-AFFY-20	moderate	2d	T9
GSM4449.CEL	A-AFFY-19	mild	4h	T8
GSM31227.CEL	A-AFFY-19	mild	0.5h	T9
GSM31309.CEL	A-AFFY-20	mild	14d	T10
GSM6648.CEL	A-AFFY-20	mild	1d	T10
GSM31466.CEL	A-AFFY-18	severe	1d	T8
GSM31195.CEL	A-AFFY-19	moderate	4h	T9
GSM31225.CEL	A-AFFY-18	mild	28d	T9
GSM4456.CEL	A-AFFY-19	mild	1d	T10
GSM1336.CEL	A-AFFY-18	normal	7d	T9
GSM31500.CEL	A-AFFY-18	severe	7d	T8
GSM31436.CEL	A-AFFY-19	mild	0.5h	T8
GSM31373.CEL	A-AFFY-18	severe	28d	T10
GSM31665.CEL	A-AFFY-18	moderate	1d	T9
GSM31327.CEL	A-AFFY-19	mild	0.5h	T10
GSM31255.CEL	A-AFFY-19	normal	14d	T9
GSM31518.CEL	A-AFFY-20	moderate	0.5d	T9
GSM31575.CEL	A-AFFY-20	moderate	3d	T9
GSM4457.CEL	A-AFFY-19	mild	1d	T10
GSM31571.CEL	A-AFFY-19	moderate	4h	T9
GSM31485.CEL	A-AFFY-20	severe	4h	T8
GSM31417.CEL	A-AFFY-19	normal	0h	T8
GSM7589.CEL	A-AFFY-20	severe	4h	T9
GSM31519.CEL	A-AFFY-20	moderate	0.5d	T9
GSM31567.CEL	A-AFFY-20	moderate	4h	T9
GSM31282.CEL	A-AFFY-19	normal	0.5h	T10
GSM31346.CEL	A-AFFY-19	severe	14d	T10
GSM4444.CEL	A-AFFY-19	mild	1d	T8
GSM7591.CEL	A-AFFY-19	severe	7d	T9
GSM31265.CEL	A-AFFY-20	normal	2d	T9
GSM31416.CEL	A-AFFY-20	normal	0h	T8
GSM31283.CEL	A-AFFY-18	normal	14d	T10
GSM6630.CEL	A-AFFY-20	normal	1d	T10
GSM4455.CEL	A-AFFY-19	mild	1d	T10
GSM31593.CEL	A-AFFY-20	moderate	7d	T9
GSM31313.CEL	A-AFFY-19	mild	14d	T10
GSM31326.CEL	A-AFFY-19	mild	0.5h	T10
GSM31398.CEL	A-AFFY-19	normal	14d	T8
GSM31605.CEL	A-AFFY-19	severe	28d	T9
GSM31451.CEL	A-AFFY-18	mild	7d	T8
GSM31302.CEL	A-AFFY-20	normal	0h	T10
GSM31307.CEL	A-AFFY-19	mild	14d	T10
GSM6627.CEL	A-AFFY-20	normal	4h	T8
GSM7590.CEL	A-AFFY-18	severe	7d	T9
GSM31511.CEL	A-AFFY-20	normal	0h	T9
GSM4478.CEL	A-AFFY-19	mild	7d	T9
GSM31479.CEL	A-AFFY-20	severe	1d	T8
GSM31601.CEL	A-AFFY-20	severe	28d	T9
GSM31325.CEL	A-AFFY-19	mild	0.5h	T10
GSM31353.CEL	A-AFFY-18	severe	1d	T10
GSM31598.CEL	A-AFFY-18	severe	14d	T9
GSM31582.CEL	A-AFFY-18	moderate	7d	T9
GSM31459.CEL	A-AFFY-18	severe	14d	T8
GSM31369.CEL	A-AFFY-19	severe	28d	T10
GSM4459.CEL	A-AFFY-19	mild	4h	T10
GSM4452.CEL	A-AFFY-19	mild	7d	T8
GSM4460.CEL	A-AFFY-19	mild	4h	T10
GSM31366.CEL	A-AFFY-20	severe	28d	T10
GSM1327.CEL	A-AFFY-18	mild	7d	T9
GSM31319.CEL	A-AFFY-18	mild	1d	T10
GSM31506.CEL	A-AFFY-20	severe	4h	T8
GSM6667.CEL	A-AFFY-20	mild	4h	T9
GSM31487.CEL	A-AFFY-20	severe	4h	T8
GSM31340.CEL	A-AFFY-18	mild	7d	T10
GSM6677.CEL	A-AFFY-20	normal	7d	T9
GSM31588.CEL	A-AFFY-19	moderate	7d	T9
GSM31411.CEL	A-AFFY-18	normal	7d	T8
GSM31228.CEL	A-AFFY-19	mild	0.5h	T9
GSM6658.CEL	A-AFFY-20	mild	7d	T10
GSM31405.CEL	A-AFFY-18	normal	0.5h	T8
GSM31364.CEL	A-AFFY-18	severe	28d	T10
GSM31422.CEL	A-AFFY-20	mild	14d	T8
GSM7577.CEL	A-AFFY-20	severe	1d	T9
GSM31414.CEL	A-AFFY-18	normal	0h	T8
GSM1332.CEL	A-AFFY-18	normal	0.5h	T9
GSM31478.CEL	A-AFFY-18	severe	1d	T8
GSM1326.CEL	A-AFFY-18	mild	7d	T9
GSM31348.CEL	A-AFFY-19	severe	14d	T10
GSM6645.CEL	A-AFFY-20	mild	7d	T8
GSM31505.CEL	A-AFFY-19	severe	4h	T8
GSM31386.CEL	A-AFFY-19	severe	7d	T10
GSM31375.CEL	A-AFFY-19	severe	4h	T10
GSM31271.CEL	A-AFFY-19	normal	0.5h	T9
GSM31305.CEL	A-AFFY-20	mild	14d	T10
GSM4428.CEL	A-AFFY-19	normal	4h	T8
GSM31552.CEL	A-AFFY-19	moderate	2d	T9
GSM31471.CEL	A-AFFY-20	severe	1d	T8
GSM31312.CEL	A-AFFY-19	mild	14d	T10
GSM6662.CEL	A-AFFY-20	mild	1d	T9
GSM7597.CEL	A-AFFY-19	severe	7d	T9
GSM31499.CEL	A-AFFY-20	severe	7d	T8
GSM31462.CEL	A-AFFY-20	severe	14d	T8
GSM31306.CEL	A-AFFY-18	normal	0h	T10
GSM4477.CEL	A-AFFY-18	mild	1d	T9
GSM31381.CEL	A-AFFY-18	severe	4h	T10
GSM31410.CEL	A-AFFY-18	normal	7d	T8
GSM31396.CEL	A-AFFY-18	normal	14d	T8
GSM31391.CEL	A-AFFY-18	severe	7d	T10
GSM4434.CEL	A-AFFY-19	normal	1d	T10
GSM31614.CEL	A-AFFY-20	severe	14d	T9
GSM4475.CEL	A-AFFY-19	mild	7d	T9
GSM31586.CEL	A-AFFY-20	moderate	3d	T9
GSM31583.CEL	A-AFFY-19	moderate	3d	T9
GSM4468.CEL	A-AFFY-19	mild	1d	T9
GSM7596.CEL	A-AFFY-18	severe	7d	T9
GSM31547.CEL	A-AFFY-20	moderate	28d	T9
GSM31352.CEL	A-AFFY-19	severe	1d	T10
GSM31362.CEL	A-AFFY-19	severe	1d	T10
GSM31460.CEL	A-AFFY-19	severe	14d	T8
GSM1338.CEL	A-AFFY-18	normal	0h	T9
GSM7600.CEL	A-AFFY-19	severe	7d	T9
GSM31441.CEL	A-AFFY-20	mild	0.5h	T8
GSM31458.CEL	A-AFFY-18	severe	14d	T8
GSM7571.CEL	A-AFFY-20	severe	1d	T9
GSM31437.CEL	A-AFFY-20	mild	0.5h	T8
GSM31535.CEL	A-AFFY-19	moderate	1d	T9
GSM4450.CEL	A-AFFY-19	mild	7d	T8
GSM31320.CEL	A-AFFY-18	mild	1d	T10
GSM31495.CEL	A-AFFY-19	severe	7d	T8
GSM31541.CEL	A-AFFY-18	moderate	28d	T9
GSM31491.CEL	A-AFFY-18	severe	4h	T8
GSM31266.CEL	A-AFFY-20	normal	0.5h	T9
GSM31554.CEL	A-AFFY-20	moderate	28d	T9
GSM31540.CEL	A-AFFY-19	moderate	28d	T9
GSM4441.CEL	A-AFFY-19	normal	0h	T10
GSM6657.CEL	A-AFFY-20	mild	7d	T10
GSM1334.CEL	A-AFFY-18	normal	4h	T9
GSM6636.CEL	A-AFFY-20	mild	1d	T8
GSM6649.CEL	A-AFFY-20	mild	1d	T10
GSM4464.CEL	A-AFFY-19	mild	7d	T10
GSM31549.CEL	A-AFFY-19	moderate	28d	T9
GSM31515.CEL	A-AFFY-18	moderate	0.5d	T9
GSM31300.CEL	A-AFFY-18	normal	0h	T10
GSM31469.CEL	A-AFFY-18	severe	1d	T8
GSM1323.CEL	A-AFFY-18	mild	0.5h	T9
GSM31590.CEL	A-AFFY-20	severe	14d	T9
GSM31317.CEL	A-AFFY-18	mild	1d	T10
GSM31322.CEL	A-AFFY-19	mild	0.5h	T10
GSM31399.CEL	A-AFFY-20	normal	14d	T8
GSM31407.CEL	A-AFFY-20	normal	0.5h	T8
GSM6634.CEL	A-AFFY-20	normal	7d	T10
GSM31277.CEL	A-AFFY-20	normal	14d	T10
GSM31527.CEL	A-AFFY-20	moderate	21d	T9
GSM31429.CEL	A-AFFY-20	mild	14d	T8
GSM31279.CEL	A-AFFY-19	normal	0.5h	T10
GSM31439.CEL	A-AFFY-18	mild	0.5h	T8
GSM7570.CEL	A-AFFY-19	severe	1d	T9
GSM31456.CEL	A-AFFY-20	severe	14d	T8
GSM31359.CEL	A-AFFY-18	severe	1d	T10
GSM31473.CEL	A-AFFY-18	severe	1d	T8
GSM31600.CEL	A-AFFY-20	severe	28d	T9
GSM6626.CEL	A-AFFY-20	normal	4h	T8
GSM7598.CEL	A-AFFY-20	severe	7d	T9
GSM1329.CEL	A-AFFY-18	mild	7d	T9
GSM31288.CEL	A-AFFY-18	normal	7d	T9
GSM31461.CEL	A-AFFY-19	severe	14d	T10
GSM31308.CEL	A-AFFY-20	mild	14d	T8
GSM31507.CEL	A-AFFY-18	severe	4h	T10
GSM31477.CEL	A-AFFY-19	severe	28d	T8
GSM31537.CEL	A-AFFY-20	moderate	1d	T8
GSM31667.CEL	A-AFFY-19	normal	14d	T9
GSM4427.CEL	A-AFFY-19	normal	1d	T10
GSM31286.CEL	A-AFFY-18	normal	7d	T8
GSM7581.CEL	A-AFFY-18	severe	4h	T10
GSM31337.CEL	A-AFFY-18	mild	4h	T9
GSM31385.CEL	A-AFFY-18	severe	4h	T10
GSM31562.CEL	A-AFFY-20	moderate	4h	T10
GSM31453.CEL	A-AFFY-18	moderate	4h	T9
GSM31476.CEL	A-AFFY-19	severe	28d	T8
GSM31371.CEL	A-AFFY-20	severe	28d	T8
GSM31443.CEL	A-AFFY-18	mild	0.5h	T10
GSM31345.CEL	A-AFFY-18	severe	14d	T8
GSM31448.CEL	A-AFFY-18	mild	4h	T10
GSM31551.CEL	A-AFFY-18	moderate	2d	T8
GSM31613.CEL	A-AFFY-20	severe	14d	T9
GSM4483.CEL	A-AFFY-19	normal	7d	T9
GSM4419.CEL	A-AFFY-18	mild	4h	T9
GSM6660.CEL	A-AFFY-20	mild	1d	T9
GSM31490.CEL	A-AFFY-19	severe	28d	T9
GSM31338.CEL	A-AFFY-18	mild	7d	T8
GSM31201.CEL	A-AFFY-20	mild	14d	T10
GSM31486.CEL	A-AFFY-19	severe	4h	T9
GSM4436.CEL	A-AFFY-19	normal	4h	T8
GSM31332.CEL	A-AFFY-18	mild	4h	T10
GSM31400.CEL	A-AFFY-18	normal	1d	T10
GSM4471.CEL	A-AFFY-19	mild	4h	T8
GSM6631.CEL	A-AFFY-20	normal	1d	T9
GSM31560.CEL	A-AFFY-19	moderate	2d	T10
GSM31339.CEL	A-AFFY-18	moderate	1d	T9
GSM4481.CEL	A-AFFY-19	normal	4h	T10
GSM6642.CEL	A-AFFY-20	mild	4h	T9
GSM31455.CEL	A-AFFY-18	mild	7d	T8
GSM4421.CEL	A-AFFY-18	mild	4h	T8
GSM31534.CEL	A-AFFY-20	moderate	1d	T9
GSM31528.CEL	A-AFFY-20	moderate	0.5d	T9
GSM31378.CEL	A-AFFY-20	severe	4h	T9
GSM4442.CEL	A-AFFY-19	mild	1d	T10
GSM31383.CEL	A-AFFY-18	severe	4h	T8
GSM6653.CEL	A-AFFY-20	mild	4h	T10
GSM31435.CEL	A-AFFY-19	mild	0.5h	T10
GSM31556.CEL	A-AFFY-20	moderate	2d	T8
GSM31589.CEL	A-AFFY-20	moderate	7d	T9
GSM31315.CEL	A-AFFY-18	mild	14d	T9
GSM6650.CEL	A-AFFY-20	mild	1d	T10
GSM4437.CEL	A-AFFY-19	normal	4h	T10
GSM31602.CEL	A-AFFY-20	severe	28d	T10
GSM7583.CEL	A-AFFY-20	severe	4h	T9
GSM31392.CEL	A-AFFY-20	severe	7d	T9
GSM31546.CEL	A-AFFY-20	moderate	28d	T10
GSM31425.CEL	A-AFFY-18	mild	14d	T9
GSM31532.CEL	A-AFFY-20	moderate	1d	T8
GSM31580.CEL	A-AFFY-18	moderate	3d	T9
GSM4447.CEL	A-AFFY-19	mild	4h	T9
GSM31331.CEL	A-AFFY-19	mild	0.5h	T8
GSM4440.CEL	A-AFFY-19	normal	0h	T10
GSM31526.CEL	A-AFFY-20	moderate	21d	T10
GSM7569.CEL	A-AFFY-18	severe	1d	T9
GSM7595.CEL	A-AFFY-20	severe	7d	T9
GSM31508.CEL	A-AFFY-19	normal	3d	T9
GSM31409.CEL	A-AFFY-20	normal	0.5h	T9
GSM31354.CEL	A-AFFY-18	severe	1d	T8
GSM31442.CEL	A-AFFY-18	mild	0.5h	T10
GSM31573.CEL	A-AFFY-19	moderate	3d	T8
GSM31304.CEL	A-AFFY-20	normal	0h	T9
GSM31569.CEL	A-AFFY-20	moderate	4h	T10
GSM4426.CEL	A-AFFY-19	normal	1d	T9
GSM4462.CEL	A-AFFY-19	mild	7d	T8
GSM31576.CEL	A-AFFY-19	moderate	3d	T10
GSM31329.CEL	A-AFFY-18	mild	0.5h	T9
GSM31608.CEL	A-AFFY-19	severe	28d	T10
GSM31419.CEL	A-AFFY-19	mild	14d	T9
GSM31412.CEL	A-AFFY-18	normal	4h	T8
GSM31452.CEL	A-AFFY-18	mild	7d	T8
GSM4435.CEL	A-AFFY-19	normal	1d	T8
GSM31328.CEL	A-AFFY-18	mild	0.5h	T10
GSM7582.CEL	A-AFFY-19	severe	4h	T10
GSM31253.CEL	A-AFFY-18	normal	14d	T9
GSM31430.CEL	A-AFFY-18	mild	14d	T9
