UniProt	Ensembl
Q9QZM5	ENSRNOG00000031325
Q8K4K7	ENSRNOG00000007999
Q4KLM5	ENSRNOG00000017585
Q5XIU1	ENSRNOG00000015762
P15650	ENSRNOG00000012966
Q5FVC7	ENSRNOG00000001730
Q6AYY8	ENSRNOG00000010023
Q6DGF9	ENSRNOG00000003108
Q5RJK8	ENSRNOG00000003550
Q924N5	ENSRNOG00000011381
A1L1K7	ENSRNOG00000045947
P11030	ENSRNOG00000046889
B3DMA2	ENSRNOG00000010940
Q4FZR5	ENSRNOG00000038973
Q9JLB5	ENSRNOG00000020293
P12389	ENSRNOG00000017424
P43144	ENSRNOG00000002484
P25108	ENSRNOG00000018286
P12390	ENSRNOG00000020778
P12391	ENSRNOG00000012448
P12392	ENSRNOG00000014427
P25109	ENSRNOG00000014698
P25110	ENSRNOG00000019527
O89039	ENSRNOG00000019622
P86173	ENSRNOG00000001408
Q641W9	ENSRNOG00000016641
Q4QR76	ENSRNOG00000016621
P08482	ENSRNOG00000018385
P10980	ENSRNOG00000046972
P08483	ENSRNOG00000049410
P08911	ENSRNOG00000006397
Q5FVR5	ENSRNOG00000051912
P07308	ENSRNOG00000013552
Q9ER34	ENSRNOG00000024128
Q6AY33	ENSRNOG00000017399
P29293	ENSRNOG00000029762
Q499N5	ENSRNOG00000003330
P18163	ENSRNOG00000010633
Q63151	ENSRNOG00000014718
O35547	ENSRNOG00000019180
P33124	ENSRNOG00000026745
Q6SKG1	ENSRNOG00000032246
Q7TN78	ENSRNOG00000014726
Q6AYT9	ENSRNOG00000031211
P60711	ENSRNOG00000034254
P68035	ENSRNOG00000008536
P63259	ENSRNOG00000036701
P63259	ENSRNOG00000053452
P63269	ENSRNOG00000029401
Q6AY16	ENSRNOG00000026033
Q9Z1P2	ENSRNOG00000056756
Q9QXQ0	ENSRNOG00000020433
P68136	ENSRNOG00000017786
Q5XIK1	ENSRNOG00000003456
P85515	ENSRNOG00000019725
P80202	ENSRNOG00000006934
P80203	ENSRNOG00000028713
P80201	ENSRNOG00000005033
Q6AYS7	ENSRNOG00000011189
Q9R1T5	ENSRNOG00000019659
Q5M876	ENSRNOG00000017901
Q9QYV0	ENSRNOG00000020590
P43140	ENSRNOG00000009522
P19328	ENSRNOG00000013887
P22086	ENSRNOG00000009299
Q3KR54	ENSRNOG00000017246
Q920P6	ENSRNOG00000010265
Q9Z286	ENSRNOG00000053410
Q05764	ENSRNOG00000015903
P06757	ENSRNOG00000012436
Q5XI95	ENSRNOG00000012436
P12711	ENSRNOG00000046357
Q8CGZ2	ENSRNOG00000015425
P61312	ENSRNOG00000029830
P43145	ENSRNOG00000027030
Q9JKL8	ENSRNOG00000010975
B2RYJ4	ENSRNOG00000005795
Q02589	ENSRNOG00000027260
Q5M886	ENSRNOG00000003397
P26255	ENSRNOG00000012674
Q9JMB5	ENSRNOG00000055984
P56522	ENSRNOG00000058497
Q09073	ENSRNOG00000039980
Q5M828	ENSRNOG00000014481
B2GUW6	ENSRNOG00000018421
D4AB98	ENSRNOG00000019403
Q5M971	ENSRNOG00000021110
O88788	ENSRNOG00000014511
Q8CGU4	ENSRNOG00000025584
Q5Y4N8	ENSRNOG00000046254
Q9WVT0	ENSRNOG00000011154
Q8CJ11	ENSRNOG00000032472
O88917	ENSRNOG00000029134
Q9ESC1	ENSRNOG00000033940
Q64565	ENSRNOG00000017821
P35351	ENSRNOG00000050006
P25095	ENSRNOG00000018346
P29089	ENSRNOG00000010640
Q75NT5	ENSRNOG00000014721
P55009	ENSRNOG00000000853
Q9JM53	ENSRNOG00000006067
Q32PX2	ENSRNOG00000001044
Q9JLG9	ENSRNOG00000007889
Q5FWY5	ENSRNOG00000022289
Q5U2Z2	ENSRNOG00000012791
P51635	ENSRNOG00000016727
Q6AYQ2	ENSRNOG00000029844
Q5QD51	ENSRNOG00000019549
O35817	ENSRNOG00000006899
Q63014	ENSRNOG00000006559
P51652	ENSRNOG00000017531
Q5U1Y4	ENSRNOG00000017165
Q25C79	ENSRNOG00000008288
F1M3G7	ENSRNOG00000010964
P47196	ENSRNOG00000028629
Q5FVH4	ENSRNOG00000011956
Q5FVK8	ENSRNOG00000004891
Q63639	ENSRNOG00000055049
Q6AY08	ENSRNOG00000024917
P11883	ENSRNOG00000002331
Q5XI42	ENSRNOG00000017512
P20291	ENSRNOG00000000907
Q64057	ENSRNOG00000014645
P25409	ENSRNOG00000033915
Q5RJP0	ENSRNOG00000009875
P05065	ENSRNOG00000052802
P09117	ENSRNOG00000011452
P07943	ENSRNOG00000009513
Q5I0K7	ENSRNOG00000005753
Q6AY85	ENSRNOG00000011528
Q5XIC8	ENSRNOG00000021678
D3ZKD3	ENSRNOG00000028341
A0JPQ8	ENSRNOG00000023116
Q6AYP0	ENSRNOG00000008299
Q63042	ENSRNOG00000013370
P0C5Y8	ENSRNOG00000023280
Q63087	ENSRNOG00000004390
Q62840	ENSRNOG00000003718
Q64240	ENSRNOG00000006889
P14925	ENSRNOG00000033280
P63278	ENSRNOG00000003965
Q80ZD7	ENSRNOG00000045665
Q62893	ENSRNOG00000014850
Q5U201	ENSRNOG00000036917
G3V735	ENSRNOG00000008487
P10759	ENSRNOG00000018656
Q02356	ENSRNOG00000019240
Q68FS4	ENSRNOG00000003289
Q99068	ENSRNOG00000009313
Q3HS82	ENSRNOG00000003776
Q400C9	ENSRNOG00000024264
Q400C7	ENSRNOG00000000246
Q5XIE0	ENSRNOG00000021168
Q5BJT1	ENSRNOG00000033741
P13205	ENSRNOG00000008141
P55207	ENSRNOG00000018854
P01161	ENSRNOG00000008176
B2RYM0	ENSRNOG00000010567
Q6TMA8	ENSRNOG00000007545
O35462	ENSRNOG00000016696
P01015	ENSRNOG00000018445
Q8R560	ENSRNOG00000018598
Q5M9H0	ENSRNOG00000003186
Q66H85	ENSRNOG00000019052
Q63009	ENSRNOG00000026109
O70467	ENSRNOG00000014829
Q5U4E8	ENSRNOG00000000258
Q6IFT6	ENSRNOG00000023427
P18910	ENSRNOG00000014684
P16067	ENSRNOG00000015991
P41740	ENSRNOG00000019184
Q499M5	ENSRNOG00000028168
Q76K24	ENSRNOG00000025504
Q641X1	ENSRNOG00000001048
Q62781	ENSRNOG00000005858
P07150	ENSRNOG00000017469
Q07936	ENSRNOG00000010362
P14669	ENSRNOG00000002045
Q4FZU6	ENSRNOG00000060949
O08590	ENSRNOG00000051307
P19643	ENSRNOG00000029778
Q32Q06	ENSRNOG00000014454
P62944	ENSRNOG00000061543
P84092	ENSRNOG00000001709
P62744	ENSRNOG00000015865
G3V8Y7	ENSRNOG00000028161
Q6PEC0	ENSRNOG00000013110
Q2PWT8	ENSRNOG00000001353
D3ZVB0	ENSRNOG00000026114
Q499N2	ENSRNOG00000014148
Q9EPV5	ENSRNOG00000008022
O35431	ENSRNOG00000016358
O70248	ENSRNOG00000020466
P46933	ENSRNOG00000018020
A5HK05	ENSRNOG00000027654
D3ZQX4	ENSRNOG00000019936
Q9R0R3	ENSRNOG00000003984
P43138	ENSRNOG00000009663
Q9JHG3	ENSRNOG00000009227
Q6B959	ENSRNOG00000007830
Q7TP48	ENSRNOG00000006795
P04639	ENSRNOG00000045679
P04638	ENSRNOG00000003500
Q7TMA5	ENSRNOG00000005542
P19939	ENSRNOG00000018426
P55797	ENSRNOG00000018405
P02650	ENSRNOG00000018454
Q5M889	ENSRNOG00000033619
P14630	ENSRNOG00000000850
Q32Q90	ENSRNOG00000011542
Q32Q90	ENSRNOG00000058920
Q5U777	ENSRNOG00000018770
Q8K4H4	ENSRNOG00000006582
P36972	ENSRNOG00000014405
Q8CHM1	ENSRNOG00000013358
P29975	ENSRNOG00000011648
P47863	ENSRNOG00000016043
P47864	ENSRNOG00000051970
Q9WTY0	ENSRNOG00000053181
P56403	ENSRNOG00000009686
P56627	ENSRNOG00000061883
Q6AXT3	ENSRNOG00000055454
Q4V8C5	ENSRNOG00000016991
Q4V8I5	ENSRNOG00000001080
Q68FV2	ENSRNOG00000005074
P14056	ENSRNOG00000010838
O88656	ENSRNOG00000000991
Q63053	ENSRNOG00000043465
P24338	ENSRNOG00000002754
P84079	ENSRNOG00000060229
P84082	ENSRNOG00000004807
P61206	ENSRNOG00000054775
P61751	ENSRNOG00000012623
P84083	ENSRNOG00000007806
P62332	ENSRNOG00000004791
Q62848	ENSRNOG00000043150
Q3MID3	ENSRNOG00000014429
Q9JHU5	ENSRNOG00000010533
Q6AY65	ENSRNOG00000018440
Q63055	ENSRNOG00000013992
P0C6P5	ENSRNOG00000016544
P07824	ENSRNOG00000013304
Q5BJT0	ENSRNOG00000024142
Q5FVC2	ENSRNOG00000020027
O55043	ENSRNOG00000012934
Q6P720	ENSRNOG00000005034
Q5XIB3	ENSRNOG00000062013
D3ZAR1	ENSRNOG00000000151
P38918	ENSRNOG00000017899
Q5BK71	ENSRNOG00000014653
P61212	ENSRNOG00000005763
P61214	ENSRNOG00000004282
P51646	ENSRNOG00000006839
Q66HA6	ENSRNOG00000055860
B1WBW4	ENSRNOG00000012785
Q5PQP9	ENSRNOG00000019935
Q6AYT5	ENSRNOG00000019489
Q5U310	ENSRNOG00000037709
Q5U310	ENSRNOG00000046862
Q5XID7	ENSRNOG00000025730
Q66HF0	ENSRNOG00000037707
Q78E60	ENSRNOG00000013017
Q712U5	ENSRNOG00000023086
Q5M7U6	ENSRNOG00000004959
Q4V7C7	ENSRNOG00000003206
A1L108	ENSRNOG00000014317
Q4KLF8	ENSRNOG00000028062
P29066	ENSRNOG00000030404
P29067	ENSRNOG00000019308
Q6TXF1	ENSRNOG00000045649
Q7TP90	ENSRNOG00000010775
P15887	ENSRNOG00000018185
P50430	ENSRNOG00000011150
Q32KJ9	ENSRNOG00000003931
Q32KJ8	ENSRNOG00000026060
Q32KJ2	ENSRNOG00000026937
Q6AYE8	ENSRNOG00000019842
P50297	ENSRNOG00000014055
Q6P7S1	ENSRNOG00000010034
Q91XT9	ENSRNOG00000012196
Q5U2S6	ENSRNOG00000051619
P19359	ENSRNOG00000004294
P19360	ENSRNOG00000020434
Q8VI04	ENSRNOG00000020202
P02706	ENSRNOG00000018693
P08290	ENSRNOG00000030726
Q5RJT0	ENSRNOG00000016447
P55926	ENSRNOG00000059765
O35240	ENSRNOG00000008380
Q9R0W5	ENSRNOG00000011842
Q641Z7	ENSRNOG00000000815
B3GSH5	ENSRNOG00000001324
P49088	ENSRNOG00000007546
Q5I0J9	ENSRNOG00000019424
P30919	ENSRNOG00000000108
Q5HZW3	ENSRNOG00000061004
P09034	ENSRNOG00000008837
P06685	ENSRNOG00000030019
P06686	ENSRNOG00000007290
P06687	ENSRNOG00000020263
Q64541	ENSRNOG00000032378
P07340	ENSRNOG00000002934
Q63377	ENSRNOG00000011501
P11507	ENSRNOG00000001285
P11505	ENSRNOG00000004026
P11506	ENSRNOG00000030269
Q64568	ENSRNOG00000061304
Q64542	ENSRNOG00000003031
P19511	ENSRNOG00000016000
P19511	ENSRNOG00000046299
Q06645	ENSRNOG00000007235
Q06646	ENSRNOG00000015320
Q5I0I4	ENSRNOG00000020596
Q3KRE0	ENSRNOG00000018118
Q6MG11	ENSRNOG00000000809
Q1M168	ENSRNOG00000020407
Q00969	ENSRNOG00000001597
P29596	ENSRNOG00000003745
Q9ES19	ENSRNOG00000017801
G3V909	ENSRNOG00000024632
Q2TBJ5	ENSRNOG00000000157
Q6AZ50	ENSRNOG00000002094
Q641Y5	ENSRNOG00000007486
Q5FWU3	ENSRNOG00000018975
Q6AY69	ENSRNOG00000007756
Q03344	ENSRNOG00000013300
Q4FZU4	ENSRNOG00000049385
Q6PST4	ENSRNOG00000005063
Q04679	ENSRNOG00000016469
Q9WUC4	ENSRNOG00000013118
P18598	ENSRNOG00000018543
P29418	ENSRNOG00000049912
P31399	ENSRNOG00000003626
P29419	ENSRNOG00000000064
P21571	ENSRNOG00000001551
Q6PDU7	ENSRNOG00000028884
Q5XIM4	ENSRNOG00000004893
P05504	ENSRNOG00000031979
P70705	ENSRNOG00000061367
P11608	ENSRNOG00000033299
D4ABB8	ENSRNOG00000032039
D3ZAF6	ENSRNOG00000027049
Q06647	ENSRNOG00000001991
Q642A2	ENSRNOG00000008619
Q99J86	ENSRNOG00000021240
Q1EHB3	ENSRNOG00000028036
P04694	ENSRNOG00000016348
Q9ER24	ENSRNOG00000014637
Q63540	ENSRNOG00000016998
O35815	ENSRNOG00000005470
D4A540	ENSRNOG00000023576
D3ZUC4	ENSRNOG00000022030
A1L134	ENSRNOG00000007842
O55099	ENSRNOG00000005659
P53563	ENSRNOG00000007946
Q99M66	ENSRNOG00000009308
O88498	ENSRNOG00000016551
Q6AYK4	ENSRNOG00000028632
P07151	ENSRNOG00000017123
P23347	ENSRNOG00000014347
O35789	ENSRNOG00000007142
Q6AY39	ENSRNOG00000012019
Q99NB2	ENSRNOG00000046258
Q66H69	ENSRNOG00000018267
Q6GV29	ENSRNOG00000049724
Q10468	ENSRNOG00000004839
Q6P768	ENSRNOG00000003551
Q66HH1	ENSRNOG00000003114
P0C5J2	ENSRNOG00000002462
P0C5J2	ENSRNOG00000047790
P0C5J3	ENSRNOG00000028753
Q920K5	ENSRNOG00000004697
Q63276	ENSRNOG00000007395
Q5XIJ6	ENSRNOG00000017071
Q7TNY1	ENSRNOG00000009069
Q7TPL3	ENSRNOG00000047896
P56819	ENSRNOG00000016847
Q6IE75	ENSRNOG00000001953
Q64559	ENSRNOG00000010580
O35147	ENSRNOG00000021147
Q9R1T1	ENSRNOG00000020460
Q5QJC9	ENSRNOG00000011527
Q5QJC9	ENSRNOG00000058841
Q6MG49	ENSRNOG00000000851
Q6GMN2	ENSRNOG00000004049
D4A4K3	ENSRNOG00000011873
Q91XN4	ENSRNOG00000016066
P63156	ENSRNOG00000013209
O88181	ENSRNOG00000002117
P26453	ENSRNOG00000008414
P82252	ENSRNOG00000012344
D4A7E1	ENSRNOG00000008588
Q99MH9	ENSRNOG00000019020
Q9ESS6	ENSRNOG00000029399
P54690	ENSRNOG00000015514
Q00972	ENSRNOG00000019485
Q9QYN5	ENSRNOG00000042389
P23363	ENSRNOG00000047466
Q91XJ1	ENSRNOG00000020513
O88881	ENSRNOG00000004650
Q62896	ENSRNOG00000011008
Q3MKQ1	ENSRNOG00000032729
Q6PDU5	ENSRNOG00000028822
Q3MKP9	ENSRNOG00000060103
Q5PQN2	ENSRNOG00000003151
Q8CFC4	ENSRNOG00000046958
P70562	ENSRNOG00000025164
Q71HP2	ENSRNOG00000003191
P55062	ENSRNOG00000055579
Q3KR97	ENSRNOG00000001007
Q9JLT6	ENSRNOG00000012439
D4A631	ENSRNOG00000005703
Q7TSU1	ENSRNOG00000007485
Q68FR2	ENSRNOG00000031930
Q68FW8	ENSRNOG00000018023
P97583	ENSRNOG00000004488
D3ZKU7	ENSRNOG00000007784
Q32WR5	ENSRNOG00000012684
B2GV52	ENSRNOG00000016497
Q4V8A6	ENSRNOG00000037160
P62950	ENSRNOG00000024437
Q4KM52	ENSRNOG00000013967
Q8K589	ENSRNOG00000007529
Q04906	ENSRNOG00000013717
Q78EA7	ENSRNOG00000052469
D4ABH7	ENSRNOG00000058430
Q792S6	ENSRNOG00000018214
Q562C2	ENSRNOG00000021773
Q5M864	ENSRNOG00000024798
Q66H43	ENSRNOG00000006513
Q6AXW0	ENSRNOG00000031431
Q5PQP4	ENSRNOG00000020904
A1A5P0	ENSRNOG00000008517
Q8K4I4	ENSRNOG00000013859
Q63471	ENSRNOG00000013540
Q05704	ENSRNOG00000034174
Q6AXU0	ENSRNOG00000034195
Q9Z1N4	ENSRNOG00000002378
B2RYM5	ENSRNOG00000048061
Q6MGA9	ENSRNOG00000000461
Q8CJB9	ENSRNOG00000018840
Q6P7Q1	ENSRNOG00000004364
Q4V8D6	ENSRNOG00000012739
Q5PPK1	ENSRNOG00000001009
Q5M7T3	ENSRNOG00000020117
Q8K1M7	ENSRNOG00000002811
Q4V8K5	ENSRNOG00000052963
Q8K418	ENSRNOG00000000873
B2DD29	ENSRNOG00000017673
Q8R2H3	ENSRNOG00000006543
Q6P6S3	ENSRNOG00000015105
Q5PQR3	ENSRNOG00000000540
Q6AXU1	ENSRNOG00000036675
Q63073	ENSRNOG00000004284
P27049	ENSRNOG00000003300
O70454	ENSRNOG00000000989
Q6P7P5	ENSRNOG00000013977
Q9WTT7	ENSRNOG00000005096
Q499P3	ENSRNOG00000002536
Q9JJ05	ENSRNOG00000007804
P31720	ENSRNOG00000012807
O35796	ENSRNOG00000006949
Q5XIG2	ENSRNOG00000003259
Q5FVH0	ENSRNOG00000007613
Q3T1I2	ENSRNOG00000007300
Q5RK03	ENSRNOG00000005024
Q66HA5	ENSRNOG00000006747
Q5FVK6	ENSRNOG00000008634
Q5BJM7	ENSRNOG00000060538
Q641Y1	ENSRNOG00000021887
P97520	ENSRNOG00000047800
Q695P6	ENSRNOG00000049028
Q8R1R5	ENSRNOG00000018148
Q8R1R5	ENSRNOG00000023841
Q5XII8	ENSRNOG00000017758
Q5U2R2	ENSRNOG00000005558
Q5XIU7	ENSRNOG00000026523
Q5XI94	ENSRNOG00000059276
Q3ZCQ0	ENSRNOG00000002322
Q498R7	ENSRNOG00000012724
Q3KRF3	ENSRNOG00000019169
O88751	ENSRNOG00000001173
Q66H96	ENSRNOG00000057703
Q68FX6	ENSRNOG00000001950
P54287	ENSRNOG00000054274
D4A055	ENSRNOG00000007666
Q5XI53	ENSRNOG00000009954
Q66HR5	ENSRNOG00000015447
Q66HR5	ENSRNOG00000048982
Q704S8	ENSRNOG00000018145
P55281	ENSRNOG00000015562
Q63315	ENSRNOG00000018557
Q9R0T4	ENSRNOG00000020151
Q1WIM3	ENSRNOG00000003365
Q66HB6	ENSRNOG00000024111
B0BNN3	ENSRNOG00000010698
P27139	ENSRNOG00000009629
P14141	ENSRNOG00000010079
P43165	ENSRNOG00000019098
Q66HG6	ENSRNOG00000029330
Q5PPN4	ENSRNOG00000005669
Q5RJQ8	ENSRNOG00000020325
P07171	ENSRNOG00000007456
P47728	ENSRNOG00000016977
P01257	ENSRNOG00000011130
Q5XI58	ENSRNOG00000014831
Q5U206	ENSRNOG00000031955
P62161	ENSRNOG00000016770
P62161	ENSRNOG00000004060
Q63118	ENSRNOG00000054695
P18418	ENSRNOG00000003029
P35565	ENSRNOG00000003343
P58821	ENSRNOG00000018337
D3Z8E6	ENSRNOG00000017883
Q5BK10	ENSRNOG00000032375
Q07009	ENSRNOG00000034015
Q78EJ9	ENSRNOG00000003468
O35920	ENSRNOG00000018480
P63100	ENSRNOG00000043210
P28470	ENSRNOG00000005368
P97536	ENSRNOG00000007834
Q8K4Y7	ENSRNOG00000003239
Q08163	ENSRNOG00000013492
P52481	ENSRNOG00000043350
Q6AYC4	ENSRNOG00000013668
Q5M9G3	ENSRNOG00000009152
Q5XI32	ENSRNOG00000007330
Q9EPY0	ENSRNOG00000051470
Q5U2X0	ENSRNOG00000022736
Q4AE70	ENSRNOG00000031129
D4A7U2	ENSRNOG00000017491
P49192	ENSRNOG00000017712
P04468	ENSRNOG00000001951
P55215	ENSRNOG00000016707
P55213	ENSRNOG00000010475
Q9JHX4	ENSRNOG00000012331
P19633	ENSRNOG00000006930
P48442	ENSRNOG00000002265
D3ZZ07	ENSRNOG00000033540
P04762	ENSRNOG00000008364
P80067	ENSRNOG00000016496
P16228	ENSRNOG00000006963
Q63088	ENSRNOG00000046476
O35186	ENSRNOG00000021155
P07154	ENSRNOG00000018566
Q9QZE3	ENSRNOG00000017946
Q9R1T3	ENSRNOG00000050697
P51638	ENSRNOG00000005798
B2GUZ5	ENSRNOG00000013538
Q3T1K5	ENSRNOG00000056207
Q5U2Y8	ENSRNOG00000018559
Q6AXP4	ENSRNOG00000009917
P31211	ENSRNOG00000009438
G3V8H4	ENSRNOG00000018953
P63182	ENSRNOG00000000010
P98087	ENSRNOG00000013654
P00731	ENSRNOG00000010725
Q9EQV9	ENSRNOG00000010935
B2GV17	ENSRNOG00000008612
Q9EQV8	ENSRNOG00000013439
Q6IRK9	ENSRNOG00000005931
Q7TS56	ENSRNOG00000024411
P32232	ENSRNOG00000029528
Q99MB4	ENSRNOG00000015516
P60889	ENSRNOG00000016875
Q8K4I6	ENSRNOG00000013892
Q66H33	ENSRNOG00000000720
Q4V7B5	ENSRNOG00000007375
B1H228	ENSRNOG00000021109
Q4V8B5	ENSRNOG00000001860
Q5M9G5	ENSRNOG00000010706
Q32PZ9	ENSRNOG00000008319
Q5M862	ENSRNOG00000007262
Q5FVL4	ENSRNOG00000039086
Q6AXT4	ENSRNOG00000017656
Q5PQJ9	ENSRNOG00000004774
Q6AYN9	ENSRNOG00000002860
Q4V8F1	ENSRNOG00000021945
Q6AY41	ENSRNOG00000010895
Q4V897	ENSRNOG00000009462
P86182	ENSRNOG00000010846
Q5XIR4	ENSRNOG00000008219
D3Z8K2	ENSRNOG00000011440
Q5BK07	ENSRNOG00000002748
Q5U2X6	ENSRNOG00000009006
Q810U0	ENSRNOG00000001930
A0JPP8	ENSRNOG00000013767
Q5XIJ8	ENSRNOG00000058916
Q4V7C4	ENSRNOG00000048718
Q6QD51	ENSRNOG00000002052
Q66H73	ENSRNOG00000005713
Q5XIB5	ENSRNOG00000020925
B2RZ86	ENSRNOG00000022766
B2RZ86	ENSRNOG00000048071
Q6AY97	ENSRNOG00000001847
Q5BJT7	ENSRNOG00000002514
Q6AY45	ENSRNOG00000004875
Q71RJ2	ENSRNOG00000006226
Q8VHX0	ENSRNOG00000012362
Q8VHW9	ENSRNOG00000003262
Q8VHW8	ENSRNOG00000003288
Q8VHW7	ENSRNOG00000057852
P62957	ENSRNOG00000056257
P01355	ENSRNOG00000019321
P97545	ENSRNOG00000007335
P97884	ENSRNOG00000015992
P14844	ENSRNOG00000007159
P50229	ENSRNOG00000011205
Q68FP3	ENSRNOG00000030021
Q9QXY8	ENSRNOG00000000239
Q6AY13	ENSRNOG00000014052
P30277	ENSRNOG00000058539
P39948	ENSRNOG00000020918
Q8K4F8	ENSRNOG00000007483
P39950	ENSRNOG00000003256
Q9R1A0	ENSRNOG00000031656
Q9R1Q2	ENSRNOG00000011586
Q5I0H5	ENSRNOG00000018691
Q498U0	ENSRNOG00000014654
Q6AYA8	ENSRNOG00000002191
Q5M845	ENSRNOG00000038330
Q6AY31	ENSRNOG00000060245
Q4V7B2	ENSRNOG00000011671
Q62834	ENSRNOG00000017770
Q63691	ENSRNOG00000017819
Q9QZA6	ENSRNOG00000019215
Q9QZA6	ENSRNOG00000046094
O35112	ENSRNOG00000001989
Q07490	ENSRNOG00000000321
Q7TPB4	ENSRNOG00000033608
F1LRS8	ENSRNOG00000011987
Q5HZW5	ENSRNOG00000006901
Q5XIC3	ENSRNOG00000010967
Q64244	ENSRNOG00000003069
P19377	ENSRNOG00000015994
P97829	ENSRNOG00000001964
P10252	ENSRNOG00000004737
P05540	ENSRNOG00000016294
P24485	ENSRNOG00000017874
P27274	ENSRNOG00000042821
P61810	ENSRNOG00000021685
P51882	ENSRNOG00000020872
P28648	ENSRNOG00000007650
P07725	ENSRNOG00000007178
P40241	ENSRNOG00000019556
Q4G059	ENSRNOG00000005410
Q62623	ENSRNOG00000028415
Q6YDN7	ENSRNOG00000029785
Q4V8A2	ENSRNOG00000005904
Q8CFN2	ENSRNOG00000013536
O08837	ENSRNOG00000019975
Q68FW2	ENSRNOG00000015529
Q4KM91	ENSRNOG00000001514
Q91XU7	ENSRNOG00000013330
Q9JIK1	ENSRNOG00000017762
Q5U2U6	ENSRNOG00000003328
P70500	ENSRNOG00000024144
Q3MJK5	ENSRNOG00000006000
P39951	ENSRNOG00000000632
Q4KM34	ENSRNOG00000017991
P35426	ENSRNOG00000025602
Q03114	ENSRNOG00000008017
Q641Z4	ENSRNOG00000022586
Q66HE7	ENSRNOG00000038720
Q5XIT0	ENSRNOG00000002506
Q9JM01	ENSRNOG00000054806
B2RZ50	ENSRNOG00000009785
P0C5I0	ENSRNOG00000026493
P21816	ENSRNOG00000000158
O35052	ENSRNOG00000002142
Q5XIM5	ENSRNOG00000010186
Q6AYK9	ENSRNOG00000032215
Q6AYM1	ENSRNOG00000017581
D3Z8X7	ENSRNOG00000025000
Q4KLH6	ENSRNOG00000010608
A4L9P8	ENSRNOG00000010999
P16573	ENSRNOG00000020578
P21272	ENSRNOG00000057347
Q03484	ENSRNOG00000050869
P56261	ENSRNOG00000014282
P26801	ENSRNOG00000021144
Q9R0E0	ENSRNOG00000015644
P00774	ENSRNOG00000013628
Q4QQT3	ENSRNOG00000010379
O88278	ENSRNOG00000053889
Q5FVI4	ENSRNOG00000018448
Q5FVI4	ENSRNOG00000045680
Q3ZAU7	ENSRNOG00000038789
Q5U2W4	ENSRNOG00000011296
Q5U1Z7	ENSRNOG00000009116
Q561R1	ENSRNOG00000024178
Q4V8G7	ENSRNOG00000022261
A1L1L1	ENSRNOG00000042944
Q4KM37	ENSRNOG00000010950
Q3B7T8	ENSRNOG00000010566
Q4V7C8	ENSRNOG00000016377
B4F7A7	ENSRNOG00000006792
Q4KLY0	ENSRNOG00000008410
Q5PQQ9	ENSRNOG00000022845
Q66H89	ENSRNOG00000007859
Q5XI03	ENSRNOG00000014354
