gene	module
ENSG00000158769	3
ENSG00000158773	2
ENSG00000162755	2
ENSG00000143256	15
ENSG00000158793	11
ENSG00000158796	3
ENSG00000143222	12
ENSG00000143258	13
ENSG00000143224	1
ENSG00000158850	3
ENSG00000158859	1
ENSG00000158864	1
ENSG00000158869	7
ENSG00000248485	2
ENSG00000158887	0
ENSG00000143252	1
ENSG00000188931	4
ENSG00000235477	4
ENSG00000143226	3
ENSG00000173110	3
ENSG00000203747	7
ENSG00000244682	6
ENSG00000225217	3
ENSG00000081721	0
ENSG00000118217	6
ENSG00000152332	2
ENSG00000117143	5
ENSG00000162733	6
ENSG00000132196	11
ENSG00000143248	0
ENSG00000143171	1
ENSG00000143198	10
ENSG00000143149	6
ENSG00000143183	1
ENSG00000143157	4
ENSG00000143162	7
ENSG00000197965	5
ENSG00000143158	12
ENSG00000143164	3
ENSG00000224837	4
ENSG00000143155	14
ENSG00000213064	0
ENSG00000143153	1
ENSG00000117475	1
ENSG00000188404	3
ENSG00000075945	0
ENSG00000117523	14
ENSG00000233328	11
ENSG00000117533	0
ENSG00000197959	1
ENSG00000094975	1
ENSG00000117592	9
ENSG00000234741	8
ENSG00000116161	12
ENSG00000120333	4
ENSG00000116147	0
ENSG00000143207	8
ENSG00000152092	2
ENSG00000116199	2
ENSG00000143337	1
ENSG00000116260	1
ENSG00000135847	1
ENSG00000135823	8
ENSG00000162783	3
ENSG00000135821	3
ENSG00000143333	3
ENSG00000261185	1
ENSG00000135838	7
ENSG00000135829	14
ENSG00000157064	2
ENSG00000116698	3
ENSG00000116701	7
ENSG00000162704	1
ENSG00000143344	0
ENSG00000198756	1
ENSG00000198860	1
ENSG00000116406	6
ENSG00000121486	6
ENSG00000116679	6
ENSG00000047410	0
ENSG00000157181	1
ENSG00000073756	3
ENSG00000090104	0
ENSG00000116741	3
ENSG00000116750	0
ENSG00000116747	1
ENSG00000272579	1
ENSG00000023572	12
ENSG00000134371	1
ENSG00000000971	3
ENSG00000151414	4
ENSG00000081237	7
ENSG00000118200	0
ENSG00000116857	2
ENSG00000174307	1
ENSG00000159176	1
ENSG00000198700	0
ENSG00000198892	1
ENSG00000163431	0
ENSG00000134375	12
ENSG00000176393	7
ENSG00000170075	1
ENSG00000143862	1
ENSG00000077157	1
ENSG00000236439	8
ENSG00000183155	1
ENSG00000117153	0
ENSG00000159346	1
ENSG00000159348	0
ENSG00000163444	5
ENSG00000143847	2
ENSG00000163485	1
ENSG00000133048	3
ENSG00000159388	0
ENSG00000058668	5
ENSG00000058673	1
ENSG00000182004	11
ENSG00000143842	1
ENSG00000143850	1
ENSG00000231691	1
ENSG00000158615	6
ENSG00000133056	0
ENSG00000198625	1
ENSG00000163531	1
ENSG00000184144	1
ENSG00000133059	1
ENSG00000133069	1
ENSG00000162873	2
ENSG00000117266	1
ENSG00000158715	1
ENSG00000069275	1
ENSG00000117280	6
ENSG00000133065	9
ENSG00000163486	7
ENSG00000143486	1
ENSG00000162889	11
ENSG00000196352	3
ENSG00000117335	1
ENSG00000174059	0
ENSG00000123689	3
ENSG00000203706	4
ENSG00000117625	1
ENSG00000153363	1
ENSG00000170385	3
ENSG00000123684	1
ENSG00000066027	6
ENSG00000065600	1
ENSG00000117691	4
ENSG00000162772	3
ENSG00000117697	1
ENSG00000203705	0
ENSG00000174606	1
ENSG00000136643	1
ENSG00000117707	1
ENSG00000143499	2
ENSG00000136636	1
ENSG00000143353	1
ENSG00000136628	1
ENSG00000162813	1
ENSG00000067704	14
ENSG00000218283	14
ENSG00000162819	1
ENSG00000162909	6
ENSG00000143514	9
ENSG00000272645	0
ENSG00000143756	0
ENSG00000143753	1
ENSG00000162923	0
ENSG00000143815	6
ENSG00000154380	0
ENSG00000143742	0
ENSG00000143819	3
ENSG00000242861	1
ENSG00000196187	1
ENSG00000143811	1
ENSG00000143751	1
ENSG00000163041	6
ENSG00000182827	6
ENSG00000143799	1
ENSG00000203685	0
ENSG00000143772	0
ENSG00000143776	0
ENSG00000143761	5
ENSG00000162910	12
ENSG00000143774	10
ENSG00000198835	1
ENSG00000181218	3
ENSG00000168159	2
ENSG00000234975	0
ENSG00000116574	1
ENSG00000168118	1
ENSG00000154429	1
ENSG00000143632	0
ENSG00000069248	1
ENSG00000228058	7
ENSG00000177614	2
ENSG00000135744	9
ENSG00000119280	1
ENSG00000143643	1
ENSG00000173409	1
ENSG00000182118	3
ENSG00000116906	1
ENSG00000135766	1
ENSG00000116918	0
ENSG00000116991	3
ENSG00000135750	1
ENSG00000168275	12
ENSG00000059588	1
ENSG00000168264	0
ENSG00000173726	1
ENSG00000188739	4
ENSG00000054267	1
ENSG00000152904	8
ENSG00000116957	0
ENSG00000168243	2
ENSG00000077585	6
ENSG00000116977	14
ENSG00000077522	1
ENSG00000116984	1
ENSG00000091483	2
ENSG00000143702	1
ENSG00000054282	1
ENSG00000117020	0
ENSG00000179456	9
ENSG00000035687	1
ENSG00000203667	4
ENSG00000153187	0
ENSG00000143653	1
ENSG00000259865	3
ENSG00000227671	7
ENSG00000196071	1
ENSG00000175137	10
ENSG00000171161	10
ENSG00000171163	5
ENSG00000035115	1
ENSG00000143727	1
ENSG00000151353	1
ENSG00000171853	0
ENSG00000182551	1
ENSG00000234171	1
ENSG00000171863	8
ENSG00000232044	1
ENSG00000272268	1
ENSG00000151692	1
ENSG00000115738	0
ENSG00000260837	0
ENSG00000134313	1
ENSG00000143797	1
ENSG00000119185	11
ENSG00000119203	4
ENSG00000134330	11
ENSG00000134308	1
ENSG00000115756	2
ENSG00000115758	9
ENSG00000143870	3
ENSG00000162976	1
ENSG00000169006	9
ENSG00000134324	0
ENSG00000071575	5
ENSG00000079785	0
ENSG00000197872	5
ENSG00000163032	2
ENSG00000240857	1
ENSG00000183891	1
ENSG00000132031	0
ENSG00000068697	3
ENSG00000055917	4
ENSG00000143878	1
ENSG00000119782	2
ENSG00000115128	8
ENSG00000084676	0
ENSG00000184924	4
ENSG00000138031	0
ENSG00000261452	2
ENSG00000272048	15
ENSG00000138101	1
ENSG00000084731	2
ENSG00000084733	1
ENSG00000157833	0
ENSG00000084754	6
ENSG00000138029	9
ENSG00000138018	1
ENSG00000213699	11
ENSG00000157851	1
ENSG00000084764	2
ENSG00000119777	3
ENSG00000228474	10
ENSG00000138073	11
ENSG00000138074	0
ENSG00000138085	11
ENSG00000115204	10
ENSG00000115207	0
ENSG00000115211	10
ENSG00000115234	1
ENSG00000163795	2
ENSG00000115241	5
ENSG00000115216	5
ENSG00000138002	13
ENSG00000115226	5
ENSG00000243943	1
ENSG00000198522	3
ENSG00000119760	14
ENSG00000163798	1
ENSG00000243147	11
ENSG00000158019	5
ENSG00000075426	3
ENSG00000270640	11
ENSG00000213639	9
ENSG00000171103	1
ENSG00000115295	1
ENSG00000119801	2
ENSG00000013016	2
ENSG00000162961	0
ENSG00000021574	1
ENSG00000119820	1
ENSG00000115760	1
ENSG00000152689	1
ENSG00000119812	1
ENSG00000260025	2
ENSG00000150938	3
ENSG00000171055	1
ENSG00000115808	1
ENSG00000152133	1
ENSG00000055332	12
ENSG00000218739	2
ENSG00000115816	4
ENSG00000213553	8
ENSG00000143889	0
ENSG00000115875	6
ENSG00000188010	8
ENSG00000115904	6
ENSG00000011566	0
ENSG00000152154	1
ENSG00000143924	7
ENSG00000115944	8
ENSG00000057935	2
ENSG00000152518	7
ENSG00000138095	1
ENSG00000138032	4
ENSG00000138078	2
ENSG00000116016	3
ENSG00000119729	5
ENSG00000119878	1
ENSG00000171150	1
ENSG00000180398	5
ENSG00000068724	3
ENSG00000143933	1
ENSG00000095002	1
ENSG00000184261	0
ENSG00000230979	8
ENSG00000138081	14
ENSG00000170802	1
ENSG00000162869	4
ENSG00000243244	3
ENSG00000068912	1
ENSG00000068878	0
ENSG00000170634	4
ENSG00000115306	5
ENSG00000238018	1
ENSG00000115310	1
ENSG00000143947	8
ENSG00000085760	1
ENSG00000115355	1
ENSG00000163001	12
ENSG00000138041	4
ENSG00000138035	1
ENSG00000115380	9
ENSG00000055813	5
ENSG00000115392	1
ENSG00000233426	8
ENSG00000173209	0
ENSG00000115464	4
ENSG00000082898	0
ENSG00000115484	6
ENSG00000173163	4
ENSG00000115504	5
ENSG00000014641	2
ENSG00000228305	11
ENSG00000169764	5
ENSG00000143952	4
ENSG00000197329	0
ENSG00000225889	1
ENSG00000119844	5
ENSG00000115902	5
ENSG00000138069	5
ENSG00000172974	6
ENSG00000138071	0
ENSG00000115946	6
ENSG00000221823	2
ENSG00000119865	12
ENSG00000115956	7
ENSG00000169604	9
ENSG00000169599	0
ENSG00000188971	0
ENSG00000196975	4
ENSG00000124380	4
ENSG00000059728	3
ENSG00000169564	3
ENSG00000116001	1
ENSG00000116005	1
ENSG00000143977	12
ENSG00000035141	12
ENSG00000163235	1
ENSG00000144043	1
ENSG00000124357	11
ENSG00000124383	4
ENSG00000124374	4
ENSG00000075292	0
ENSG00000144036	1
ENSG00000116096	3
ENSG00000144040	2
ENSG00000135631	5
ENSG00000135632	0
ENSG00000135617	12
ENSG00000135624	7
ENSG00000144034	4
ENSG00000124356	1
ENSG00000114956	15
ENSG00000163170	12
ENSG00000225439	1
ENSG00000114978	7
ENSG00000065911	3
ENSG00000204843	0
ENSG00000005448	0
ENSG00000114993	1
ENSG00000115274	0
ENSG00000239779	1
ENSG00000115275	0
ENSG00000115307	5
ENSG00000115317	3
ENSG00000159399	7
ENSG00000115350	10
ENSG00000115364	4
ENSG00000163541	11
ENSG00000034510	3
ENSG00000152291	1
ENSG00000042445	1
ENSG00000115459	1
ENSG00000042493	7
ENSG00000168906	0
ENSG00000118640	7
ENSG00000168899	3
ENSG00000168894	11
ENSG00000168890	3
ENSG00000168883	6
ENSG00000168887	1
ENSG00000115523	3
ENSG00000115525	1
ENSG00000132300	1
ENSG00000132305	2
ENSG00000132313	0
ENSG00000068615	2
ENSG00000115548	0
ENSG00000115561	8
ENSG00000239305	1
ENSG00000153561	4
ENSG00000172086	1
ENSG00000144115	1
ENSG00000143429	4
ENSG00000172005	1
ENSG00000144029	0
ENSG00000144026	1
ENSG00000115042	1
ENSG00000232931	13
ENSG00000231584	1
ENSG00000084090	9
ENSG00000135956	2
ENSG00000144021	14
ENSG00000144028	0
ENSG00000196843	3
ENSG00000114982	1
ENSG00000114988	0
ENSG00000168763	1
ENSG00000168758	1
ENSG00000144199	1
ENSG00000230606	2
ENSG00000135940	12
ENSG00000115073	2
ENSG00000075568	14
ENSG00000183513	4
ENSG00000115446	6
ENSG00000071073	7
ENSG00000158411	4
ENSG00000185414	1
ENSG00000241962	1
ENSG00000115514	1
ENSG00000158417	4
ENSG00000135945	1
ENSG00000170500	2
ENSG00000115526	0
ENSG00000115539	4
ENSG00000071082	8
ENSG00000158435	0
ENSG00000163162	3
ENSG00000071054	4
ENSG00000115594	3
ENSG00000115602	3
ENSG00000233639	4
ENSG00000198914	1
ENSG00000135972	1
ENSG00000135974	1
ENSG00000071051	3
ENSG00000119147	3
ENSG00000115652	0
ENSG00000153201	6
ENSG00000186522	1
ENSG00000175701	3
ENSG00000144136	0
ENSG00000125538	3
ENSG00000146556	0
ENSG00000240356	1
ENSG00000144134	0
ENSG00000115091	6
ENSG00000088205	1
ENSG00000125633	14
ENSG00000125629	0
ENSG00000186132	8
ENSG00000155368	9
ENSG00000226479	1
ENSG00000144118	3
ENSG00000074054	2
ENSG00000236859	4
ENSG00000155438	8
ENSG00000211460	1
ENSG00000136732	7
ENSG00000136717	0
ENSG00000163161	13
ENSG00000163166	1
ENSG00000072163	0
ENSG00000144230	1
ENSG00000270081	4
ENSG00000136720	5
ENSG00000136699	1
ENSG00000152082	12
ENSG00000136710	1
ENSG00000136718	12
ENSG00000072135	7
ENSG00000136002	2
ENSG00000152102	1
ENSG00000115762	1
ENSG00000173272	10
ENSG00000152117	13
ENSG00000150551	5
ENSG00000152127	1
ENSG00000152128	0
ENSG00000082258	1
ENSG00000115839	0
ENSG00000048991	2
ENSG00000144224	1
ENSG00000115866	9
ENSG00000121966	0
ENSG00000150540	1
ENSG00000144228	1
ENSG00000121964	4
ENSG00000169554	4
ENSG00000168280	1
ENSG00000168288	6
ENSG00000162980	7
ENSG00000115145	1
ENSG00000157827	1
ENSG00000196504	4
ENSG00000177917	1
ENSG00000144278	1
ENSG00000153234	0
ENSG00000115159	5
ENSG00000136541	1
ENSG00000115170	0
ENSG00000144283	4
ENSG00000115183	1
ENSG00000213189	6
ENSG00000136536	0
ENSG00000241399	7
ENSG00000153250	3
ENSG00000136560	1
ENSG00000115233	0
ENSG00000232320	0
ENSG00000115271	1
ENSG00000198648	1
ENSG00000081479	1
ENSG00000138398	1
ENSG00000138385	0
ENSG00000138382	0
ENSG00000144357	1
ENSG00000128692	6
ENSG00000128683	2
ENSG00000115806	1
ENSG00000198586	1
ENSG00000233762	8
ENSG00000071967	9
ENSG00000077380	1
ENSG00000115840	0
ENSG00000128708	6
ENSG00000091409	3
ENSG00000091428	2
ENSG00000172845	6
ENSG00000138430	0
ENSG00000138433	0
ENSG00000144306	1
ENSG00000115935	1
ENSG00000235655	0
ENSG00000128656	2
ENSG00000115966	0
ENSG00000154518	12
ENSG00000144320	1
ENSG00000224189	1
ENSG00000226363	1
ENSG00000128645	1
ENSG00000128654	1
ENSG00000170144	4
ENSG00000116044	6
ENSG00000018510	1
ENSG00000180228	1
ENSG00000187231	1
ENSG00000163510	8
ENSG00000226564	8
ENSG00000170035	1
ENSG00000138434	4
ENSG00000115252	1
ENSG00000162998	0
ENSG00000061676	0
ENSG00000177855	12
ENSG00000065548	0
ENSG00000138448	1
ENSG00000144369	0
ENSG00000115368	0
ENSG00000138449	0
ENSG00000138381	0
ENSG00000128699	0
ENSG00000187699	1
ENSG00000204253	6
ENSG00000198130	11
ENSG00000151689	1
ENSG00000151690	1
