Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [location]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [time day]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [location]	FactorValue [time day]	FactorValue [treatment]
GSM1698075 1	Rostral.LC.20d	Rostral.LC.20d.2	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	20d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698075 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698075 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698075	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698075_090929-Rat230_2-09266C_sR2_20d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698075_sample_table.txt norm	GSM1698075_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	20d	Lesion control(LC)
GSM1698074 1	Rostral.LC.20d	Rostral.LC.20d.1	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	20d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698074 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698074 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698074	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698074_090929-Rat230_2-09266C_sR1_20d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698074_sample_table.txt norm	GSM1698074_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	20d	Lesion control(LC)
GSM1698073 1	Rostral.LC.10d	Rostral.LC.10d.3	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	10d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698073 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698073 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698073	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698073_090828-Rat230_2-09266B_sR3-10d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698073_sample_table.txt norm	GSM1698073_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	10d	Lesion control(LC)
GSM1698072 1	Rostral.LC.10d	Rostral.LC.10d.2	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	10d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698072 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698072 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698072	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698072_090828-Rat230_2-09266B_sR2-10d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698072_sample_table.txt norm	GSM1698072_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	10d	Lesion control(LC)
GSM1698071 1	Rostral.LC.10d	Rostral.LC.10d.1	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	10d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698071 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698071 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698071	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698071_100108-Rat230_2-09266E_SR1-10d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698071_sample_table.txt norm	GSM1698071_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	10d	Lesion control(LC)
GSM1698070 1	Rostral.LC.03d	Rostral.LC.03d.3	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	03d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698070 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698070 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698070	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698070_090926-Rat230_2-09266C_sR3_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698070_sample_table.txt norm	GSM1698070_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	03d	Lesion control(LC)
GSM1698069 1	Rostral.LC.03d	Rostral.LC.03d.2	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	03d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698069 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698069 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698069	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698069_090926-Rat230_2-09266C_sR2_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698069_sample_table.txt norm	GSM1698069_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	03d	Lesion control(LC)
GSM1698068 1	Rostral.LC.03d	Rostral.LC.03d.1	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	03d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698068 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698068 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698068	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698068_090926-Rat230_2-09266C_sR1_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698068_sample_table.txt norm	GSM1698068_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	03d	Lesion control(LC)
GSM1698067 1	Rostral.LC.01d	Rostral.LC.01d.3	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	01d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698067 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698067 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698067	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698067_090929-Rat230_2-09266C_sR3_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698067_sample_table.txt norm	GSM1698067_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	01d	Lesion control(LC)
GSM1698066 1	Rostral.LC.01d	Rostral.LC.01d.2	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	01d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698066 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698066 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698066	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698066_090929-Rat230_2-09266C_sR2_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698066_sample_table.txt norm	GSM1698066_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	01d	Lesion control(LC)
GSM1698065 1	Rostral.LC.01d	Rostral.LC.01d.1	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	01d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698065 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698065 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698065	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698065_090929-Rat230_2-09266C_sR1_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698065_sample_table.txt norm	GSM1698065_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	01d	Lesion control(LC)
GSM1698064 1	Rostral.ET.90d	Rostral.ET.90d.3	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	90d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698064 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698064 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698064	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698064_091114-Rat230_2-09266D_KR3-90d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698064_sample_table.txt norm	GSM1698064_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	90d	Empty tube(ET)
GSM1698063 1	Rostral.ET.90d	Rostral.ET.90d.2	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	90d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698063 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698063 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698063	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698063_091114-Rat230_2-09266D_KR2-90d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698063_sample_table.txt norm	GSM1698063_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	90d	Empty tube(ET)
GSM1698062 1	Rostral.ET.90d	Rostral.ET.90d.1	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	90d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698062 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698062 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698062	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698062_091114-Rat230_2-09266D_KR1-90d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698062_sample_table.txt norm	GSM1698062_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	90d	Empty tube(ET)
GSM1698061 1	Rostral.ET.60d	Rostral.ET.60d.3	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	60d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698061 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698061 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698061	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698061_091113-Rat230_2-09266D_KR3-60d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698061_sample_table.txt norm	GSM1698061_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	60d	Empty tube(ET)
